datetime,date,hour,cnt
2011-01-02 05:00:00,2011-01-02,5,0.0
2011-01-02 06:00:00,2011-01-02,6,2.0
2011-01-02 07:00:00,2011-01-02,7,1.0
2011-01-02 08:00:00,2011-01-02,8,8.0
2011-01-02 09:00:00,2011-01-02,9,19.0
2011-01-02 10:00:00,2011-01-02,10,53.0
2011-01-02 11:00:00,2011-01-02,11,68.0
2011-01-02 12:00:00,2011-01-02,12,89.0
2011-01-02 13:00:00,2011-01-02,13,73.0
2011-01-02 14:00:00,2011-01-02,14,57.0
2011-01-02 15:00:00,2011-01-02,15,73.0
2011-01-02 16:00:00,2011-01-02,16,74.0
2011-01-02 17:00:00,2011-01-02,17,64.0
2011-01-02 18:00:00,2011-01-02,18,51.0
2011-01-02 19:00:00,2011-01-02,19,29.0
2011-01-02 20:00:00,2011-01-02,20,22.0
2011-01-02 21:00:00,2011-01-02,21,31.0
2011-01-02 22:00:00,2011-01-02,22,9.0
2011-01-02 23:00:00,2011-01-02,23,7.0
2011-01-03 00:00:00,2011-01-03,0,5.0
2011-01-03 01:00:00,2011-01-03,1,2.0
2011-01-03 02:00:00,2011-01-03,2,0.0
2011-01-03 03:00:00,2011-01-03,3,0.0
2011-01-03 04:00:00,2011-01-03,4,1.0
2011-01-03 02:00:00,2011-01-03,2,0.0
2011-01-03 03:00:00,2011-01-03,3,0.0
2011-01-03 04:00:00,2011-01-03,4,1.0
2011-01-03 05:00:00,2011-01-03,5,3.0
2011-01-03 06:00:00,2011-01-03,6,28.0
2011-01-03 07:00:00,2011-01-03,7,63.0
2011-01-03 08:00:00,2011-01-03,8,152.0
2011-01-03 09:00:00,2011-01-03,9,86.0
2011-01-03 10:00:00,2011-01-03,10,38.0
2011-01-03 11:00:00,2011-01-03,11,45.0
2011-01-03 12:00:00,2011-01-03,12,53.0
2011-01-03 13:00:00,2011-01-03,13,58.0
2011-01-03 14:00:00,2011-01-03,14,70.0
2011-01-03 15:00:00,2011-01-03,15,72.0
2011-01-03 16:00:00,2011-01-03,16,75.0
2011-01-03 17:00:00,2011-01-03,17,154.0
2011-01-03 18:00:00,2011-01-03,18,156.0
2011-01-03 19:00:00,2011-01-03,19,107.0
2011-01-03 20:00:00,2011-01-03,20,51.0
2011-01-03 21:00:00,2011-01-03,21,51.0
2011-01-03 22:00:00,2011-01-03,22,19.0
2011-01-03 23:00:00,2011-01-03,23,12.0
2011-01-04 00:00:00,2011-01-04,0,5.0
2011-01-04 01:00:00,2011-01-04,1,2.0
2011-01-03 03:00:00,2011-01-03,3,0.0
2011-01-03 04:00:00,2011-01-03,4,1.0
2011-01-03 05:00:00,2011-01-03,5,3.0
2011-01-03 06:00:00,2011-01-03,6,28.0
2011-01-03 07:00:00,2011-01-03,7,63.0
2011-01-03 08:00:00,2011-01-03,8,152.0
2011-01-03 09:00:00,2011-01-03,9,86.0
2011-01-03 10:00:00,2011-01-03,10,38.0
2011-01-03 11:00:00,2011-01-03,11,45.0
2011-01-03 12:00:00,2011-01-03,12,53.0
2011-01-03 13:00:00,2011-01-03,13,58.0
2011-01-03 14:00:00,2011-01-03,14,70.0
2011-01-03 15:00:00,2011-01-03,15,72.0
2011-01-03 16:00:00,2011-01-03,16,75.0
2011-01-03 17:00:00,2011-01-03,17,154.0
2011-01-03 18:00:00,2011-01-03,18,156.0
2011-01-03 19:00:00,2011-01-03,19,107.0
2011-01-03 20:00:00,2011-01-03,20,51.0
2011-01-03 21:00:00,2011-01-03,21,51.0
2011-01-03 22:00:00,2011-01-03,22,19.0
2011-01-03 23:00:00,2011-01-03,23,12.0
2011-01-04 00:00:00,2011-01-04,0,5.0
2011-01-04 01:00:00,2011-01-04,1,2.0
2011-01-04 02:00:00,2011-01-04,2,1.0
2011-01-04 03:00:00,2011-01-04,3,0.0
2011-01-04 04:00:00,2011-01-04,4,2.0
2011-01-04 05:00:00,2011-01-04,5,4.0
2011-01-04 06:00:00,2011-01-04,6,36.0
2011-01-04 07:00:00,2011-01-04,7,93.0
2011-01-04 08:00:00,2011-01-04,8,177.0
2011-01-04 09:00:00,2011-01-04,9,100.0
2011-01-04 10:00:00,2011-01-04,10,40.0
2011-01-04 11:00:00,2011-01-04,11,56.0
2011-01-04 12:00:00,2011-01-04,12,74.0
2011-01-04 13:00:00,2011-01-04,13,96.0
2011-01-04 14:00:00,2011-01-04,14,62.0
2011-01-04 15:00:00,2011-01-04,15,64.0
2011-01-04 16:00:00,2011-01-04,16,82.0
2011-01-04 17:00:00,2011-01-04,17,210.0
2011-01-04 18:00:00,2011-01-04,18,182.0
2011-01-04 19:00:00,2011-01-04,19,106.0
2011-01-04 20:00:00,2011-01-04,20,52.0
2011-01-04 21:00:00,2011-01-04,21,46.0
2011-01-04 22:00:00,2011-01-04,22,35.0
2011-01-04 23:00:00,2011-01-04,23,11.0
2011-01-05 00:00:00,2011-01-05,0,6.0
2011-01-05 01:00:00,2011-01-05,1,6.0
2011-01-05 02:00:00,2011-01-05,2,2.0
2011-01-05 03:00:00,2011-01-05,3,0.0
2011-01-05 04:00:00,2011-01-05,4,2.0
2011-01-05 05:00:00,2011-01-05,5,3.0
2011-01-05 06:00:00,2011-01-05,6,33.0
2011-01-05 07:00:00,2011-01-05,7,87.0
2011-01-05 08:00:00,2011-01-05,8,192.0
2011-01-05 09:00:00,2011-01-05,9,113.0
2011-01-05 10:00:00,2011-01-05,10,55.0
2011-01-05 11:00:00,2011-01-05,11,46.0
2011-01-05 12:00:00,2011-01-05,12,78.0
2011-01-05 13:00:00,2011-01-05,13,70.0
2011-01-05 14:00:00,2011-01-05,14,59.0
2011-01-05 15:00:00,2011-01-05,15,59.0
2011-01-05 16:00:00,2011-01-05,16,87.0
2011-01-05 17:00:00,2011-01-05,17,187.0
2011-01-05 18:00:00,2011-01-05,18,168.0
2011-01-05 19:00:00,2011-01-05,19,130.0
2011-01-05 20:00:00,2011-01-05,20,86.0
2011-01-05 21:00:00,2011-01-05,21,43.0
2011-01-05 22:00:00,2011-01-05,22,40.0
2011-01-05 23:00:00,2011-01-05,23,19.0
2011-01-06 00:00:00,2011-01-06,0,11.0
2011-01-06 01:00:00,2011-01-06,1,4.0
2011-01-06 02:00:00,2011-01-06,2,2.0
2011-01-06 03:00:00,2011-01-06,3,0.0
2011-01-06 04:00:00,2011-01-06,4,1.0
2011-01-06 05:00:00,2011-01-06,5,4.0
2011-01-06 06:00:00,2011-01-06,6,36.0
2011-01-06 07:00:00,2011-01-06,7,93.0
2011-01-06 08:00:00,2011-01-06,8,211.0
2011-01-06 09:00:00,2011-01-06,9,117.0
2011-01-06 10:00:00,2011-01-06,10,45.0
2011-01-06 11:00:00,2011-01-06,11,58.0
2011-01-06 12:00:00,2011-01-06,12,83.0
2011-01-06 13:00:00,2011-01-06,13,67.0
2011-01-06 14:00:00,2011-01-06,14,67.0
2011-01-06 15:00:00,2011-01-06,15,61.0
2011-01-06 16:00:00,2011-01-06,16,85.0
2011-01-06 17:00:00,2011-01-06,17,171.0
2011-01-06 18:00:00,2011-01-06,18,158.0
2011-01-06 19:00:00,2011-01-06,19,111.0
2011-01-06 20:00:00,2011-01-06,20,67.0
2011-01-06 21:00:00,2011-01-06,21,47.0
2011-01-06 22:00:00,2011-01-06,22,51.0
2011-01-06 23:00:00,2011-01-06,23,23.0
2011-01-07 00:00:00,2011-01-07,0,16.0
2011-01-07 01:00:00,2011-01-07,1,7.0
2011-01-07 02:00:00,2011-01-07,2,1.0
2011-01-07 03:00:00,2011-01-07,3,0.0
2011-01-07 04:00:00,2011-01-07,4,1.0
2011-01-07 05:00:00,2011-01-07,5,5.0
2011-01-07 06:00:00,2011-01-07,6,34.0
2011-01-07 07:00:00,2011-01-07,7,82.0
2011-01-07 08:00:00,2011-01-07,8,209.0
2011-01-07 09:00:00,2011-01-07,9,132.0
2011-01-07 10:00:00,2011-01-07,10,63.0
2011-01-07 11:00:00,2011-01-07,11,66.0
2011-01-07 12:00:00,2011-01-07,12,59.0
2011-01-07 13:00:00,2011-01-07,13,72.0
2011-01-07 14:00:00,2011-01-07,14,49.0
2011-01-07 15:00:00,2011-01-07,15,71.0
2011-01-07 16:00:00,2011-01-07,16,86.0
2011-01-07 17:00:00,2011-01-07,17,186.0
2011-01-07 18:00:00,2011-01-07,18,122.0
2011-01-07 19:00:00,2011-01-07,19,94.0
2011-01-07 20:00:00,2011-01-07,20,49.0
2011-01-07 21:00:00,2011-01-07,21,38.0
2011-01-07 22:00:00,2011-01-07,22,36.0
2011-01-07 23:00:00,2011-01-07,23,15.0
2011-01-08 00:00:00,2011-01-08,0,25.0
2011-01-08 01:00:00,2011-01-08,1,16.0
2011-01-08 02:00:00,2011-01-08,2,16.0
2011-01-11 03:00:00,2011-01-11,3,0.0
2011-01-11 04:00:00,2011-01-11,4,0.0
2011-01-11 05:00:00,2011-01-11,5,6.0
2011-01-11 06:00:00,2011-01-11,6,26.0
2011-01-11 07:00:00,2011-01-11,7,97.0
2011-01-11 08:00:00,2011-01-11,8,210.0
2011-01-11 09:00:00,2011-01-11,9,126.0
2011-01-11 10:00:00,2011-01-11,10,53.0
2011-01-11 11:00:00,2011-01-11,11,35.0
2011-01-11 12:00:00,2011-01-11,12,56.0
2011-01-11 13:00:00,2011-01-11,13,48.0
2011-01-11 14:00:00,2011-01-11,14,62.0
2011-01-11 15:00:00,2011-01-11,15,45.0
2011-01-11 16:00:00,2011-01-11,16,74.0
2011-01-11 17:00:00,2011-01-11,17,134.0
2011-01-11 18:00:00,2011-01-11,18,91.0
2011-01-11 19:00:00,2011-01-11,19,51.0
2011-01-11 20:00:00,2011-01-11,20,32.0
2011-01-11 21:00:00,2011-01-11,21,20.0
2011-01-11 22:00:00,2011-01-11,22,29.0
2011-01-11 23:00:00,2011-01-11,23,19.0
2011-01-12 00:00:00,2011-01-12,0,7.0
2011-01-12 01:00:00,2011-01-12,1,6.0
2011-01-12 02:00:00,2011-01-12,2,1.0
2011-01-11 04:00:00,2011-01-11,4,0.0
2011-01-11 05:00:00,2011-01-11,5,6.0
2011-01-11 06:00:00,2011-01-11,6,26.0
2011-01-11 07:00:00,2011-01-11,7,97.0
2011-01-11 08:00:00,2011-01-11,8,210.0
2011-01-11 09:00:00,2011-01-11,9,126.0
2011-01-11 10:00:00,2011-01-11,10,53.0
2011-01-11 11:00:00,2011-01-11,11,35.0
2011-01-11 12:00:00,2011-01-11,12,56.0
2011-01-11 13:00:00,2011-01-11,13,48.0
2011-01-11 14:00:00,2011-01-11,14,62.0
2011-01-11 15:00:00,2011-01-11,15,45.0
2011-01-11 16:00:00,2011-01-11,16,74.0
2011-01-11 17:00:00,2011-01-11,17,134.0
2011-01-11 18:00:00,2011-01-11,18,91.0
2011-01-11 19:00:00,2011-01-11,19,51.0
2011-01-11 20:00:00,2011-01-11,20,32.0
2011-01-11 21:00:00,2011-01-11,21,20.0
2011-01-11 22:00:00,2011-01-11,22,29.0
2011-01-11 23:00:00,2011-01-11,23,19.0
2011-01-12 00:00:00,2011-01-12,0,7.0
2011-01-12 01:00:00,2011-01-12,1,6.0
2011-01-12 02:00:00,2011-01-12,2,1.0
2011-01-12 03:00:00,2011-01-12,3,0.0
2011-01-12 03:00:00,2011-01-12,3,0.0
2011-01-12 04:00:00,2011-01-12,4,0.0
2011-01-12 05:00:00,2011-01-12,5,5.0
2011-01-12 06:00:00,2011-01-12,6,16.0
2011-01-12 07:00:00,2011-01-12,7,54.0
2011-01-12 08:00:00,2011-01-12,8,128.0
2011-01-12 09:00:00,2011-01-12,9,79.0
2011-01-12 10:00:00,2011-01-12,10,39.0
2011-01-12 11:00:00,2011-01-12,11,35.0
2011-01-12 12:00:00,2011-01-12,12,53.0
2011-01-12 13:00:00,2011-01-12,13,46.0
2011-01-12 14:00:00,2011-01-12,14,43.0
2011-01-12 15:00:00,2011-01-12,15,48.0
2011-01-12 16:00:00,2011-01-12,16,66.0
2011-01-12 17:00:00,2011-01-12,17,137.0
2011-01-12 18:00:00,2011-01-12,18,137.0
2011-01-12 19:00:00,2011-01-12,19,77.0
2011-01-12 20:00:00,2011-01-12,20,56.0
2011-01-12 21:00:00,2011-01-12,21,56.0
2011-01-12 22:00:00,2011-01-12,22,32.0
2011-01-12 23:00:00,2011-01-12,23,20.0
2011-01-13 00:00:00,2011-01-13,0,7.0
2011-01-13 01:00:00,2011-01-13,1,2.0
2011-01-13 02:00:00,2011-01-13,2,2.0
2011-01-12 04:00:00,2011-01-12,4,0.0
2011-01-12 05:00:00,2011-01-12,5,5.0
2011-01-12 06:00:00,2011-01-12,6,16.0
2011-01-12 07:00:00,2011-01-12,7,54.0
2011-01-12 08:00:00,2011-01-12,8,128.0
2011-01-12 09:00:00,2011-01-12,9,79.0
2011-01-12 10:00:00,2011-01-12,10,39.0
2011-01-12 11:00:00,2011-01-12,11,35.0
2011-01-12 12:00:00,2011-01-12,12,53.0
2011-01-12 13:00:00,2011-01-12,13,46.0
2011-01-12 14:00:00,2011-01-12,14,43.0
2011-01-12 15:00:00,2011-01-12,15,48.0
2011-01-12 16:00:00,2011-01-12,16,66.0
2011-01-12 17:00:00,2011-01-12,17,137.0
2011-01-12 18:00:00,2011-01-12,18,137.0
2011-01-12 19:00:00,2011-01-12,19,77.0
2011-01-12 20:00:00,2011-01-12,20,56.0
2011-01-12 21:00:00,2011-01-12,21,56.0
2011-01-12 22:00:00,2011-01-12,22,32.0
2011-01-12 23:00:00,2011-01-12,23,20.0
2011-01-13 00:00:00,2011-01-13,0,7.0
2011-01-13 01:00:00,2011-01-13,1,2.0
2011-01-13 02:00:00,2011-01-13,2,2.0
2011-01-13 03:00:00,2011-01-13,3,2.0
2011-01-14 04:00:00,2011-01-14,4,0.0
2011-01-14 05:00:00,2011-01-14,5,8.0
2011-01-14 06:00:00,2011-01-14,6,17.0
2011-01-14 07:00:00,2011-01-14,7,69.0
2011-01-14 08:00:00,2011-01-14,8,155.0
2011-01-14 09:00:00,2011-01-14,9,111.0
2011-01-14 10:00:00,2011-01-14,10,43.0
2011-01-14 11:00:00,2011-01-14,11,51.0
2011-01-14 12:00:00,2011-01-14,12,59.0
2011-01-14 13:00:00,2011-01-14,13,77.0
2011-01-14 14:00:00,2011-01-14,14,62.0
2011-01-14 15:00:00,2011-01-14,15,67.0
2011-01-14 16:00:00,2011-01-14,16,87.0
2011-01-14 17:00:00,2011-01-14,17,158.0
2011-01-14 18:00:00,2011-01-14,18,136.0
2011-01-14 19:00:00,2011-01-14,19,88.0
2011-01-14 20:00:00,2011-01-14,20,66.0
2011-01-14 21:00:00,2011-01-14,21,52.0
2011-01-14 22:00:00,2011-01-14,22,32.0
2011-01-14 23:00:00,2011-01-14,23,26.0
2011-01-15 00:00:00,2011-01-15,0,28.0
2011-01-15 01:00:00,2011-01-15,1,20.0
2011-01-15 02:00:00,2011-01-15,2,12.0
2011-01-15 03:00:00,2011-01-15,3,8.0
2011-01-18 00:00:00,2011-01-18,0,0.0
2011-01-18 01:00:00,2011-01-18,1,0.0
2011-01-18 02:00:00,2011-01-18,2,0.0
2011-01-18 03:00:00,2011-01-18,3,0.0
2011-01-18 04:00:00,2011-01-18,4,0.0
2011-01-18 05:00:00,2011-01-18,5,0.0
2011-01-18 06:00:00,2011-01-18,6,0.0
2011-01-18 07:00:00,2011-01-18,7,0.0
2011-01-18 08:00:00,2011-01-18,8,0.0
2011-01-18 09:00:00,2011-01-18,9,0.0
2011-01-18 10:00:00,2011-01-18,10,0.0
2011-01-18 11:00:00,2011-01-18,11,0.0
2011-01-18 12:00:00,2011-01-18,12,3.0
2011-01-18 13:00:00,2011-01-18,13,20.0
2011-01-18 14:00:00,2011-01-18,14,27.0
2011-01-18 15:00:00,2011-01-18,15,35.0
2011-01-18 16:00:00,2011-01-18,16,61.0
2011-01-18 17:00:00,2011-01-18,17,122.0
2011-01-18 18:00:00,2011-01-18,18,132.0
2011-01-18 19:00:00,2011-01-18,19,98.0
2011-01-18 20:00:00,2011-01-18,20,80.0
2011-01-18 21:00:00,2011-01-18,21,41.0
2011-01-18 22:00:00,2011-01-18,22,33.0
2011-01-18 23:00:00,2011-01-18,23,20.0
2011-01-18 01:00:00,2011-01-18,1,0.0
2011-01-18 02:00:00,2011-01-18,2,0.0
2011-01-18 03:00:00,2011-01-18,3,0.0
2011-01-18 04:00:00,2011-01-18,4,0.0
2011-01-18 05:00:00,2011-01-18,5,0.0
2011-01-18 06:00:00,2011-01-18,6,0.0
2011-01-18 07:00:00,2011-01-18,7,0.0
2011-01-18 08:00:00,2011-01-18,8,0.0
2011-01-18 09:00:00,2011-01-18,9,0.0
2011-01-18 10:00:00,2011-01-18,10,0.0
2011-01-18 11:00:00,2011-01-18,11,0.0
2011-01-18 12:00:00,2011-01-18,12,3.0
2011-01-18 13:00:00,2011-01-18,13,20.0
2011-01-18 14:00:00,2011-01-18,14,27.0
2011-01-18 15:00:00,2011-01-18,15,35.0
2011-01-18 16:00:00,2011-01-18,16,61.0
2011-01-18 17:00:00,2011-01-18,17,122.0
2011-01-18 18:00:00,2011-01-18,18,132.0
2011-01-18 19:00:00,2011-01-18,19,98.0
2011-01-18 20:00:00,2011-01-18,20,80.0
2011-01-18 21:00:00,2011-01-18,21,41.0
2011-01-18 22:00:00,2011-01-18,22,33.0
2011-01-18 23:00:00,2011-01-18,23,20.0
2011-01-19 00:00:00,2011-01-19,0,3.0
2011-01-18 02:00:00,2011-01-18,2,0.0
2011-01-18 03:00:00,2011-01-18,3,0.0
